TRACT,WARD
1600,4
1500,4
1401,4
1402,4
1803,4
9507,4
9505,4
1702,4
10300,4
2102,4
2202,4
2301,4
2400,4
2503,4
2504,4
2600,4
1804,4
1901,4
1902,4
2002,4
2001,4
2201,4
2101,4
2501,3
1100,3
1004,3
1003,3
903,3
904,3
902,3
804,3
802,3
300,3
400,3
501,3
502,3
702,3
703,3
803,3
1002,3
1200,3
600,3
1303,3
1301,3
1304,3
704,1
2704,1
2703,1
2801,1
2900,1
3200,1
2802,1
3902,1
4001,1
4002,1
3801,1
3701,1
4402,1
4401,1
3600,1
3000,1
3702,1
3802,1
3901,1
3400,1
2702,1
3500,1
3100,2
201,2
202,2
102,2
4100,2
101,2
980000,2
5801,2
5802,2
4801,2
4802,2
4901,2
4902,2
10800,2
10100,2
10700,2
5601,2
5602,2
5503,2
5501,2
5502,2
4202,2
4201,2
4300,2
5203,2
5003,2
5004,2
5001,2
5202,2
5302,2
5303,6
10202,6
11002,6
6400,6
11001,6
10201,6
10500,6
7202,6
7000,6
7100,6
6900,6
6700,6
8001,6
8402,6
8410,6
10602,6
10601,6
10603,6
4704,6
4703,6
4702,6
5900,6
6600,6
6500,6
8302,6
8100,6
8301,6
8200,5
9508,5
9510,5
2302,5
3301,5
3302,5
4600,5
8702,5
8803,5
8802,5
8903,5
8904,5
11100,5
9000,5
9400,5
9503,5
9509,5
9504,5
9511,5
9203,5
8701,5
9201,5
9301,5
9302,5
9204,5
8002,5
9102,5
8804,8
7301,8
10900,8
9807,8
9810,8
9811,8
9802,8
9700,8
7304,8
7409,8
7403,8
7408,8
7502,8
7605,8
7601,8
7203,8
7201,8
7401,8
7503,8
7504,8
7404,8
7407,8
7406,8
10400,8
9801,8
9804,8
9803,7
7901,7
7903,7
6801,7
6802,7
6804,7
7709,7
7603,7
7604,7
9901,7
9902,7
7708,7
7703,7
7707,7
9905,7
9903,7
7808,7
7807,7
7804,7
9904,7
9906,7
9907,7
9603,7
9604,7
9602,7
9601,7
7809,7
7806,7
7803,7
